Locations,Count,Country,State,State ID,County,County Fips,lat,lng,AI Exposure - State,AI Exposure - County,Population - City,Density - City
SF Bay Area,904,United States,California,CA,Not found,Not found,37.6538,-122.4196,1.028286,1.495010881,7748930,430.2
New York City,370,United States,New York,NY,Queens,36081,40.6943,-73.9249,1.495785,0.8583537,18908608,11080.3
Boston,160,United States,Massachusetts,MA,Suffolk,25025,42.3188,-71.0852,1.52209,2.108291,4328315,5319
Bengaluru,155,India,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Los Angeles,137,United States,California,CA,Los Angeles,6037,34.1141,-118.4068,1.028286,1.266307,11922389,3184.7
Seattle,136,United States,Washington,WA,King,53033,47.6211,-122.3244,1.08479,1.6137,3561397,3376.6
London,119,United Kingdom,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Berlin,85,Germany,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Tel Aviv,84,Israel,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Toronto,74,Canada,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Sao Paulo,67,Brazil,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Austin,66,United States,Texas,TX,Travis,48453,30.3005,-97.7522,0.9305078,1.498222,1905945,1154.1
Singapore,52,Singapore,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Chicago,48,United States,Illinois,IL,Cook,17031,41.8375,-87.6866,0.9887875,1.274891,8497759,4614.5
Sydney,46,Australia,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Jakarta,41,Indonesia,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Mumbai,35,India,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Salt Lake City,32,United States,Utah,UT,Salt Lake,49035,40.7776,-111.9311,1.021964,1.33066,1173879,700.8
Gurugram,32,India,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Washington D.C.,32,United States,District of Columbia,DC,District of Columbia,11001,38.9047,-77.0163,2.339433,2.339288,5116378,4235.7
San Diego,31,United States,California,CA,San Diego,6073,32.8313,-117.1222,1.028286,1.175884,3046560,1639.7
Denver,31,United States,Colorado,CO,Denver,8031,39.762,-104.8758,0.9809595,1.128774,2687458,1792.9
Stockholm,29,Sweden,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Atlanta,28,United States,Georgia,GA,Fulton,13121,33.7628,-84.422,0.8129339,1.626205,5180179,1412.3
Portland,23,United States,Oregon,OR,Multnomah,41051,45.5371,-122.65,0.7985942,1.144811,2095808,1868.8
Vancouver,23,Canada,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Miami,22,United States,Florida,FL,Miami-Dade,12086,25.784,-80.2101,0.7379833,0.7300541,6080145,4758.9
Lagos,22,Nigeria,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
New Delhi,21,India,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Montreal,21,Canada,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Melbourne,20,Australia,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Amsterdam,19,Netherlands,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Columbus,19,United States,Ohio,OH,Franklin,39049,39.9862,-82.9855,0.8504633,1.234073,1572546,1581
Phoenix,18,United States,Arizona,AZ,Maricopa,4013,33.5722,-112.0892,0.9088002,0.9336246,4064275,1198.9
Paris,17,France,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
