Locations,Count,Country,State,State ID,County,County Fips,lat,lng,AI.Exposure_State,AI.Exposure_County,City_Population,City_Density
SF Bay Area,904,United States,California,CA,Not found,Not found,37.6538,-122.42,1.028286,1.495011,7748930,430.2
Washington D.C.,32,United States,District of Columbia,DC,District of Columbia,11001,38.9047,-77.0163,2.339433,2.339288,5116378,4235.7
Boston,160,United States,Massachusetts,MA,Suffolk,25025,42.3188,-71.0852,1.52209,2.108291,4328315,5319
Boulder,16,United States,Colorado,CO,Boulder,8013,40.0248,-105.2524,0.9809595,1.936633,118090,1534.8
Philadelphia,14,United States,Pennsylvania,PA,Philadelphia,42101,40.0077,-75.1339,1.014222,1.808488,5683533,4578.4
Albany,1,United States,New York,NY,Albany,36001,42.6664,-73.7987,1.495785,1.776388,590694,1798.3
Minneapolis,11,United States,Minnesota,MN,Hennepin,27053,44.9635,-93.2678,1.151987,1.734048,2892569,3052.2
New Hope,1,United States,Minnesota,MN,Hennepin,27053,45.0375,-93.3869,1.151987,1.734048,21620,1650.4
Atlanta,28,United States,Georgia,GA,Fulton,13121,33.7628,-84.422,0.8129339,1.626205,5180179,1412.3
Seattle,136,United States,Washington,WA,King,53033,47.6211,-122.3244,1.08479,1.6137,3561397,3376.6
Pittsburgh,11,United States,Pennsylvania,PA,Allegheny,42003,40.4397,-79.9763,1.014222,1.611413,1749091,2118.5
Madison,2,United States,Wisconsin,WI,Dane,55025,43.0822,-89.393,0.7248446,1.555875,451652,1268.3
Durham,2,United States,North Carolina,NC,Durham,37063,35.9792,-78.9022,0.737784,1.553184,399616,950.8
Huntsville,1,United States,Alabama,AL,Madison,1089,34.6981,-86.6412,0.5171078,1.530059,349482,376.2
Hartford,1,United States,Connecticut,CT,Capitol,9110,41.7661,-72.6834,1.154729,1.530014,974684,2689.4
Austin,66,United States,Texas,TX,Travis,48453,30.3005,-97.7522,0.9305078,1.498222,1905945,1154.1
Richmond,1,United States,Virginia,VA,Richmond,51760,37.5295,-77.4756,1.254353,1.484804,1073223,1463.7
St. Louis,10,United States,Missouri,MO,St. Louis,29510,38.6359,-90.2451,0.9743246,1.473698,2130881,1864.3
Kansas City,4,United States,Missouri,MO,Jackson,29095,39.1238,-94.5541,0.9743246,1.396885,1689556,620.7
Baltimore,5,United States,Maryland,MD,Baltimore,24510,39.3051,-76.6144,1.151089,1.374542,2196524,2788.2
