naics,Company,Dollars Raised (mil),NAICS 2 Digits,AIIE
21.0,1,4200.0,21.0,-0.67779472
32.0,24,611.0,32.0,-0.6735234076923077
33.0,124,2397.873469387755,33.0,-0.13623944411764707
42.0,4,342.0,42.0,0.26408451
44.0,1,52.0,44.0,-0.030859353333333332
45.0,36,644.3142857142857,45.0,0.017075077777777777
48.0,1,118.0,48.0,-0.23992165416666666
51.0,17,982.6470588235294,51.0,1.2675550444444446
52.0,27,1650.1363636363637,52.0,2.05267
53.0,13,38071.46153846154,53.0,0.509203825
54.0,252,1043.9723684210526,54.0,1.5949278333333334
56.0,42,5600.95,56.0,-0.21101515454545455
62.0,4,439.0,62.0,0.5608008055555556
71.0,1,719.0,71.0,0.0958935
72.0,3,678.6666666666666,72.0,-0.9318270000000001
