naics,Company,Dollars Raised (mil),NAICS 3 Digits,AIIE
213,1,4200,213,-0.9810408
323,1,300,323,-0.2099964
325,22,545.3809524,325,0.011777367
327,1,2300,327,-0.9656745
332,1,470,332,-0.6565104
333,22,826,333,0.010012
334,71,1029.359184,334,0.98078985
335,3,354,335,0.2258584
336,21,7529.428571,336,-0.381845643
339,6,1672.5,339,0.08072215
425,4,342,425,0.9876717
443,1,52,443,0.3619018
452,1,17,452,-0.007219
453,6,1626.8,453,-0.064951133
454,29,496.5517241,454,-0.034444433
488,1,118,488,-0.708810983
512,1,151,512,0.91844205
515,8,1706.25,515,1.2639185
517,8,363,517,0.2466103
522,11,982.2857143,522,2.0010145
523,6,4539.8,523,2.218665
524,10,672.8,524,2.089895
531,7,776.1428571,531,0.5238351
532,6,81582.66667,532,-0.1992459
541,252,1043.972368,541,1.594927833
561,42,5600.95,561,0.073924175
621,4,439,621,0.749816843
713,1,719,713,-0.5848078
721,2,779,721,-0.786315667
722,1,478,722,-1.077338333
