Company,IsUS,Location HQ,Industry,Number Laid Off,Date of Layoff,Source,Dollars Raised (mil),Stage,Country,Percentage,List of Employees Laid Off,Ticker,Exchange,Stock Delisted
Wefox,FALSE,Berlin,Finance,60,5/16/2024,https://news.sky.com/story/insurance-unicorn-wefox-warns-investors-of-insolvency-risk-13137125,1300,Series D,Germany,,,,,
Replit,TRUE,SF Bay Area,Product,30,5/16/2024,https://www.theinformation.com/briefings/ai-coding-startup-replit-cuts-20-of-staff-shifts-to-enterprise-sales,222,Unknown,United States,0.2,,,,
Gopuff,TRUE,Philadelphia,Food,,5/16/2024,https://www.theinformation.com/briefings/gopuff-cuts-6-of-corporate-staff-in-fresh-layoffs,3400,Series H,United States,0.06,,,,
SeekOut,TRUE,Seattle,Recruiting,,5/16/2024,https://techcrunch.com/2024/05/20/seekout-layoffs-30percent-talent-search-tigerglobal/,,Series C,United States,0.3,,,,
Atmosphere,TRUE,Austin,Other,100,5/15/2024,https://www.bizjournals.com/austin/news/2024/05/15/layoffs-streaming-startup-austin-atmosphere.html,214,Series D,United States,,,,,
Singularity 6,TRUE,Los Angeles,Other,36,5/15/2024,https://twitter.com/sweetpotatoes/status/1790866384810811763,49,Series B,United States,,,,,
Mainvest,TRUE,Boston,Finance,,5/14/2024,https://mainvest.notion.site/Investor-Support-Hub-45c61ca735dd4daf8203c28d8945f9ff,3,Unknown,United States,1,,,,
Indeed,TRUE,Austin,HR,1000,5/13/2024,https://www.indeed.com/press/releases/a-message-from-our-ceo-chris-hyams-2?co=US,5,Acquired,United States,0.08,https://docs.google.com/spreadsheets/d/11pw38vkuXKudOZs0YiXBFnOS2tQ476pg3FA_qTLLM0k/edit#gid=0,,,
Motional,TRUE,Pittsburgh,Transportation,550,5/10/2024,https://techcrunch.com/2024/05/10/motional-cut-about-550-employees-around-40-in-recent-restructuring-sources-say/,,Unknown,United States,0.4,,,,
Rivian,TRUE,Los Angeles,Transportation,120,5/10/2024,https://www.sfchronicle.com/tech/article/tech-layoffs-google-rivian-19451076.php,10700,Post-IPO,United States,0.01,,RIVN,NASDAQ,FALSE
Google,TRUE,SF Bay Area,Consumer,57,5/10/2024,https://www.sfchronicle.com/tech/article/tech-layoffs-google-rivian-19451076.php,26,Post-IPO,United States,,,GOOG,NASDAQ,FALSE
