Company,IsUS,Location HQ,Industry,Number Laid Off,Date of Layoff,Source,Dollars Raised (mil),Stage,Country,Percentage,Job Positions Laid Off Desc,Job Positions Laid Off Specific,Reason Mentioned 1,Reason Mentioned 2,Reason Mentioned 3,Unprofitable,AI Mentioned,AI Relation,Expansion Mentioned,cik,Ticker,Exchange,Stock Delisted,Announced Post-Trading Hours,Stock Return On Closest Trading Date Post-Announcement (t),Stock Return 3 Days Before t,Stock Return 2 Days Before t,Stock Return 1 Day Before t,Stock Return 1 Day After t,Stock Return 2 Days After t,Stock Return 3 Days After t,List of Employees Laid Off
Replit,TRUE,SF Bay Area,Product,30,5/16/2024,https://www.theinformation.com/briefings/ai-coding-startup-replit-cuts-20-of-staff-shifts-to-enterprise-sales,222,Unknown,United States,0.2,Non-technical,"Support, Marketing, Recruiting",Optimization,,,,TRUE,Pivot towards AI,FALSE,,,,,,,,,,,,,
Wefox,FALSE,Berlin,Finance,60,5/16/2024,https://news.sky.com/story/insurance-unicorn-wefox-warns-investors-of-insolvency-risk-13137125,1300,Series D,Germany,,Central functions,,Regulatory requirements,Increasing Group cash demands,,,FALSE,,FALSE,,,,,,,,,,,,,
SeekOut,TRUE,Seattle,Recruiting,,5/16/2024,https://techcrunch.com/2024/05/20/seekout-layoffs-30percent-talent-search-tigerglobal/,,Series C,United States,0.3,,,Lower demand,Hiring slowdown,,,FALSE,,FALSE,,,,,,,,,,,,,
Gopuff,TRUE,Philadelphia,Food,,5/16/2024,https://www.theinformation.com/briefings/gopuff-cuts-6-of-corporate-staff-in-fresh-layoffs,3400,Series H,United States,0.06,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,
Atmosphere,TRUE,Austin,Other,100,5/15/2024,https://www.bizjournals.com/austin/news/2024/05/15/layoffs-streaming-startup-austin-atmosphere.html,214,Series D,United States,,,"Sales, engineering, production, management, directors",,,,,FALSE,,FALSE,,,,,,,,,,,,,
Singularity 6,TRUE,Los Angeles,Other,36,5/15/2024,https://twitter.com/sweetpotatoes/status/1790866384810811763,49,Series B,United States,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,
Mainvest,TRUE,Boston,Finance,,5/14/2024,https://mainvest.notion.site/Investor-Support-Hub-45c61ca735dd4daf8203c28d8945f9ff,3,Unknown,United States,1,Across the board,,Partner bankruptcy,Failed to secure funding,,,FALSE,,FALSE,,,,,,,,,,,,,
Indeed,TRUE,Austin,HR,1000,5/13/2024,https://www.indeed.com/press/releases/a-message-from-our-ceo-chris-hyams-2?co=US,5,Acquired,United States,0.08,"R&D, Go-to-market","Sales, CS, R&D",Optimization,,,,FALSE,,FALSE,,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/11pw38vkuXKudOZs0YiXBFnOS2tQ476pg3FA_qTLLM0k/edit#gid=0
Rivian,TRUE,Los Angeles,Transportation,120,5/10/2024,https://www.sfchronicle.com/tech/article/tech-layoffs-google-rivian-19451076.php,10700,Post-IPO,United States,0.01,"Support, office","HR, customer support, purchase operations, recruiting, directors, material handlers",Lower demand,,,TRUE,FALSE,,TRUE,1874178,RIVN,NASDAQ,FALSE,FALSE,-0.02250494,-0.007744426,0.001951264,-0.004868568,0.091091078,0.026605502,-0.088471833,
Motional,TRUE,Pittsburgh,Transportation,550,5/10/2024,https://techcrunch.com/2024/05/10/motional-cut-about-550-employees-around-40-in-recent-restructuring-sources-say/,,Unknown,United States,0.4,Across the board,"High performance compute, autonomy, systems operations, product, safety, cybersecurity, legal",Technology far behind profitability,,,,FALSE,,FALSE,,,,,,,,,,,,,
