,AI Mentioned,Post,Post*AI,Post*Percentage,Percentage,Log(Number Laid Off),capacity and demand,regional market prioritization,product and production,facility and infrastructure,liquidity and cash flow,partnership and agreement,regulatory and legal,profitability and revenue,industry relations,employee and hr,rapid expansion,market conditions,geopolitical and macroeconomic conditions,m&a activities,debt and financing,competition,business realignment,definite business realignment,automation,optimization,focus on ai,ftx collapse,covid-19
count,357,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0
unique,2,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
top,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,311,,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,0.6218487394957983,,0.08188795518207283,0.13658963585434175,5.6056335052873,0.23809523809523808,0.0056022408963585435,0.028011204481792718,0.014005602240896359,0.036414565826330535,0.014005602240896359,0.014005602240896359,0.4565826330532213,0.0,0.0056022408963585435,0.07563025210084033,0.08123249299719888,0.3165266106442577,0.025210084033613446,0.0196078431372549,0.03361344537815126,0.19607843137254902,0.12885154061624648,0.0056022408963585435,0.0784313725490196,0.008403361344537815,0.0028011204481792717,0.0700280112044818
std,,0.485606246350058,,0.12621269632673807,0.13247700809265595,1.3360146886789819,0.4265154895362409,0.07474292116733997,0.16523636419953758,0.11767852787821115,0.1875822714205308,0.11767852787821115,0.11767852787821115,0.49881046932104733,0.0,0.07474292116733997,0.26477668772597507,0.27357525566884355,0.4657737702450745,0.15698269105632331,0.1388429827931418,0.18048497910874065,0.39758579670475247,0.3355057775572654,0.07474292116733997,0.26922653241196626,0.09141198744882305,0.05292561240249632,0.25555238540283387
min,,0.0,,0.0,0.004,2.70805020110221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,0.0,,0.0,0.06,4.605170185988092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,,1.0,,0.05,0.1,5.459585514144159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,,1.0,,0.11,0.17,6.396929655216146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,,1.0,,1.0,1.0,9.546812608597396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
