Company,Ticker,Exchange,Stock Delisted,cik
PropertyGuru,PGRU,NYSE,False,1873331.0
LivePerson,LPSN,NASDAQ,False,1102993.0
NuScale Power,SMR,NYSE,False,1822966.0
SenseTime,0020.HK,HK,False,
Affirm,AFRM,NASDAQ,False,1820953.0
Warby Parker,WRBY,NYSE,False,1504776.0
Enjoy,ENJY,NASDAQ,True,
Thoughtworks,TWKS,NASDAQ,False,1866550.0
Oracle,ORCL,NYSE,False,1341439.0
Roblox,RBLX,NYSE,False,1315098.0
Otovo,OTOVO.OL,OSL,False,
Canoo,GOEV,NASDAQ,False,1750153.0
Funding Circle,FCH.L,LSE,False,
Rivian,RIVN,NASDAQ,False,1874178.0
Latch,LTCH,OTCMKTS,False,1826000.0
Upwork,UPWK,NASDAQ,False,1627475.0
Cue Health,HLTH,NASDAQ,False,1628945.0
GoodRx,GDRX,NASDAQ,False,1809519.0
HP,HP,NYSE,False,46765.0
Confluent,CFLT,NASDAQ,False,1699838.0
MissFresh,MF,NASDAQ,True,1851682.0
Superloop,SLC.AX,ASX,False,
23andMe,ME,NASDAQ,False,1804591.0
E Inc.,EINC,TSX,True,
Phunware,PHUN,NASDAQ,False,1665300.0
AppHarvest,APPHW,NASDAQ,True,
SecureWorks,SCWX,NASDAQ,False,1468666.0
Vacasa,VCSA,NASDAQ,False,1874944.0
SiriusXM,LSXMA,NASDAQ,False,1560385.0
BioMarin,BMRN,NASDAQ,False,1048477.0
Innovid,CTV,NYSE,False,1835378.0
Getaround,GETR,NYSE,False,1839608.0
Etsy,ETSY,NASDAQ,False,1370637.0
Nu Ride Inc.,NRDE,OTCMKTS,False,
Everquote,EVER,NASDAQ,False,1640428.0
Seagate,STX,NASDAQ,False,1137789.0
Freshworks,FRSH,NASDAQ,False,1544522.0
Eventbrite,EB,NYSE,False,1475115.0
Synopsys,SNPS,NASDAQ,False,883241.0
Shopify,SHOP,NYSE,False,1594805.0
Wayfair,W,NYSE,False,1616707.0
SmileDirectClub,SDCCQ,OTCMKTS,False,1775625.0
Intuit,ISRG,NASDAQ,False,1035267.0
Kaltura,KLTR,NASDAQ,False,1432133.0
Leafly,LFLY,NASDAQ,False,1785592.0
Sinch,SINCH.ST,SSO,False,
Just Eat Takeaway,TKWY.AS,AMS,False,
ZoomInfo,ZI,NASDAQ,False,1794515.0
UiPath,PATH,NYSE,False,1734722.0
Taboola,TBLA,NASDAQ,False,1840502.0
Century Therapeutics,IPSC,NASDAQ,False,1850119.0
RingCentral,RNG,NYSE,False,1384905.0
Mogo,MOGO,NASDAQ,False,1602842.0
Volta,VLTA,NYSE,True,
Lemonade,LMND,NYSE,False,1691421.0
IBM,IBM,NYSE,False,51143.0
Netflix,NFLX,NASDAQ,False,1065280.0
VTEX,VTEX,NYSE,False,1793663.0
The Arena Group,AREN,NYSEAmerican,False,894871.0
DigitalOcean,DOCN,NYSE,False,1582961.0
Zebra Technologies,ZBRA,NASDAQ,False,877212.0
Palantir,PLTR,NYSE,False,1321655.0
DHI Group,DHX,NYSE,False,1393883.0
Take-Two Interactive,TTWO,NASDAQ,False,946581.0
Singular Genomics,OMIC,NASDAQ,False,1850906.0
HubSpot,HUBS,NYSE,False,1404655.0
Logitech,LOGI,NASDAQ,False,1032975.0
Rigetti Computing,RGTI,NASDAQ,False,1838359.0
Jumia,JMIA,NYSE,False,1756708.0
Xero,XRO.AX,ASX,False,
Playtika,PLTK,NASDAQ,False,1828016.0
Grab,GRAB,NASDAQ,False,1855612.0
Megaport,MP1.XA,ASX,False,
Apple,AAPL,NASDAQ,False,320193.0
Tencent,0700.HK,HK,False,
Babylon,BBLN,NYSE,True,
GoDaddy,GDDY,NYSE,False,1609711.0
Pinterest,PINS,NYSE,False,1506293.0
Juniper Networks,JNPR,NYSE,False,1043604.0
Bark,BARK,NYSE,False,1819574.0
Lam Research,LRCX,NASDAQ,False,707549.0
Atlassian,TEAM,NASDAQ,False,1650372.0
