Ticker,Date of Layoff
TSPH,2023-12-04
SFT,2023-10-06
FIXX,2023-07-28
APPHW,2023-07-24
SFT,2023-07-11
TSPH,2023-05-18
RBL.AX,2023-05-10
SFT,2023-03-29
WEJOF,2023-03-22
XRO,2023-03-09
EQRXW,2023-02-24
OTX,2023-01-31
PTRA,2023-01-19
RBL.AX,2023-01-18
TSPH,2022-12-21
SBIGW,2022-12-01
WGX,2022-11-14
CART,2022-09-24
TMPOQ,2022-08-17
CORZ,2022-08-12
SFT,2022-08-09
MF,2022-07-29
BBLN,2022-07-12
KERNW,2022-05-27
SEZL,2022-03-10
TDUP,2021-02-09
CART,2021-01-21
OUST,2020-09-08
KERNW,2020-09-02
PCOR,2020-07-28
CXM,2020-06-25
GRAB,2020-06-16
RIVN,2020-06-02
SOFI,2020-05-20
ABNB,2020-05-05
ROO.L,2020-04-28
SG,2020-04-17
OPEN,2020-04-15
SKLZ,2020-04-14
MTTR,2020-04-09
TOST,2020-04-07
ASTR,2020-04-05
LTCH,2020-04-02
ZIP,2020-03-29
RENT,2020-03-28
GETR,2020-03-27
SOND,2020-03-24
COMP,2020-03-23
VCSA,2020-03-20
ISPO,2020-03-16
